Index,User Query,Best Path
0,{'query_id': 'How can one rebuild trust in themselves and others after experiencing a significant personal setback?'},"['Age', 'Health Status', 'Profession', 'Mental Health Status']"
1,{'query_id': 'How can I find free or low-cost mental health resources in my area?'},"['Health Status', 'Emotional State', 'Profession', 'Economic Status']"
2,{'query_id': 'How can I find support groups or networks for people in similar life stages?'},"['Profession', 'Age', 'Mental Health Status', 'Economic Status']"
3,{'query_id': 'How can I approach conversations about past conflicts with someone I care about?'},"['Emotional State', 'Age', 'Marital Status', 'Gender']"
4,{'query_id': 'How can I ensure that my personal and professional goals align with my current priorities?'},"['Emotional State', 'Education Level', 'Economic Status', 'Profession']"
5,"{'query_id': ""How can I ensure I am making decisions that align with both my values and my family's needs?""}","['Education Level', 'Emotional State', 'Age', 'Marital Status']"
6,{'query_id': 'What are effective ways to rebuild my life and self-esteem after a significant personal setback?'},"['Age', 'Marital Status', 'Profession', 'Mental Health Status']"
7,{'query_id': 'How do I communicate effectively with someone who may not understand me anymore?'},"['Age', 'Education Level', 'Mental Health Status', 'Health Status']"
8,{'query_id': 'How can I use my creative skills to raise awareness about personal challenges?'},"['Marital Status', 'Mental Health Status', 'Emotional State', 'Age']"
9,{'query_id': 'How can I balance my personal well-being while caring for others?'},"['Emotional State', 'Profession', 'Marital Status', 'Age']"
10,{'query_id': 'How can I identify if workplace stress is affecting my personal life?'},"['Mental Health Status', 'Profession', 'Age', 'Marital Status']"
11,{'query_id': 'How can I ensure my contributions are recognized in a team setting?'},"['Emotional State', 'Gender', 'Mental Health Status', 'Age']"
12,{'query_id': 'How can I find part-time work opportunities that allow time for education?'},"['Emotional State', 'Economic Status', 'Gender', 'Education Level']"
13,{'query_id': 'How can I maintain a positive mindset when facing challenges at work?'},"['Health Status', 'Profession', 'Economic Status', 'Mental Health Status']"
14,{'query_id': 'How can I maintain a sense of purpose and motivation when facing industry changes?'},"['Education Level', 'Emotional State', 'Health Status', 'Profession']"
15,{'query_id': 'What are the signs that I might need more support in managing stress?'},"['Past Self-Harm History', 'Health Status', 'Profession', 'Emotional State']"
16,{'query_id': 'What should I consider before deciding to go back to school full-time?'},"['Economic Status', 'Past Self-Harm History', 'Profession', 'Age']"
17,{'query_id': 'How can I negotiate better working conditions with my employer?'},"['Economic Status', 'Mental Health Status', 'Marital Status', 'Profession']"
18,{'query_id': 'What are some healthy ways to cope with feelings of betrayal or distrust in personal relationships?'},"['Emotional State', 'Marital Status', 'Mental Health Status', 'Past Self-Harm History']"
19,{'query_id': 'What are some strategies for maintaining a positive outlook during challenging periods?'},"['Economic Status', 'Age', 'Health Status', 'Mental Health Status']"
20,{'query_id': 'What steps can I take to remain physically active and healthy as I age?'},"['Mental Health Status', 'Profession', 'Education Level', 'Age']"
