User Query,Attribute Path,Path Length
What direction should I go with my business?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status']",7
What are some possible career paths for an extreme introvert with a degree in English and Communication?,"['Education Level', 'Profession']",2
What should I do if I want to get my life back and start a career?,['Profession'],1
How should I approach the situation regarding my salary increase and potential promotion at my current company?,['Economic Status'],1
How do I best navigate the transition into software engineering?,['Profession'],1
How do I decide on a main career path?,['Profession'],1
How do I decide if I should stay with my current company or look elsewhere/go back to school/etc.?,['Profession'],1
What should I do if I don't have a plan or vision for what career to pursue?,"['Profession', 'Education Level', 'Economic Status', 'Age', 'Emotional State']",5
Is a certificate good enough for surgery tech or should I dedicate to the AAS? Does anyone have experience going from stay at home mom to career driven?,"['Age', 'Profession', 'Education Level', 'Mental Health Status', 'Economic Status', 'Emotional State', 'Marital Status', 'Health Status', 'Past Self-Harm History']",9
What certificates or what kind of education can I go for that will have a payoff to it?,"['Education Level', 'Economic Status']",2
"Should I slog it out for 3 years to attempt to increase the chance of myself getting into my dream job, or should I opt for better work-life balance but risk not getting my dream job?",['Profession'],1
What should I do career-wise if I have no idea what I want to do?,"['Profession', 'Economic Status', 'Education Level', 'Age', 'Emotional State', 'Health Status', 'Mental Health Status']",7
Should I quit my job in my field and passion to pursue something with higher pay and hopes of eventually returning to my field of passion?,"['Profession', 'Economic Status']",2
Is a long commute worth the better lifestyle?,['Economic Status'],1
Are there any jobs that are the same as special needs support but that bring in more money?,"['Profession', 'Economic Status']",2
What career paths (that wouldn't require another ten years in school) have good salary potential these days?,['Profession'],1
"Do I actually hate my job, or does everybody feel this way?",['Profession'],1
"Would an internship be fruitful for me to try and acquire at this time, and would anyone even take me?","['Education Level', 'Profession', 'Age', 'Emotional State', 'Economic Status', 'Health Status', 'Mental Health Status', 'Marital Status']",8
What should I study to become a functional junior developer in 1 year?,"['Education Level', 'Profession']",2
"How can I help my wife find a full-time CT Tech or X-Ray Tech job at a medical clinic with normal, weekday hours and benefits?",['Profession'],1
Are there any careers at the intersection of Creative Marketing and Data Science?,['Profession'],1
"What career or life advice can you offer to help me find stability and possibly a new career, considering my interests in natural health, animals, and art?",['Profession'],1
"Should I keep working full time while going to school part time despite worsening my depression, or take out personal loans and work less to focus on my education?","['Emotional State', 'Economic Status', 'Profession', 'Age', 'Mental Health Status', 'Marital Status']",6
"Should I keep working full time while going to school part time and risk worsening burnout and depression, or should I take out personal loans on top of my graduate school loans to focus on completing my program?","['Education Level', 'Profession', 'Emotional State', 'Economic Status', 'Age', 'Mental Health Status', 'Marital Status', 'Health Status', 'Gender']",9
Are there any courses I can take to give me further qualification in video editing (that aren’t degrees)?,['Education Level'],1
Can someone either reassure me I should stay or pour some cold water on my face and tell me I've needed to go for a while? What should I do?,['Emotional State'],1
What is the best job or thing to do for me right now as an 18 year old student?,"['Education Level', 'Profession', 'Economic Status', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status']",7
What are my options for transitioning to a career in management or starting a business given my background?,"['Profession', 'Economic Status']",2
Should I shift my career from Software Developer to Sales Executive?,"['Profession', 'Economic Status', 'Age', 'Education Level', 'Emotional State']",5
What industry might be good to look into for someone with my background?,"['Profession', 'Economic Status', 'Education Level']",3
Does anyone have a perspective on INFOSEC/Cybersecurity or Financial Planning as career options?,['Profession'],1
Should I pursue a career in cosmetology that interests me or go into the medical field for better financial stability?,"['Profession', 'Economic Status']",2
What career options are available for someone looking to switch from a toxic sales job?,['Profession'],1
"Would it be best to try to stick things out and keep this position at the risk of hurting my numbers/possibly being let go for a drop in performance, or should I cut and run, get help, and keep my recent positive streak for a future resume?",['Profession'],1
How can I navigate my current job situation mentally and professionally?,['Profession'],1
"What would be a good career path for me to avoid being stuck in a non-GIS role, considering my current tech support job and our family plans?",['Profession'],1
Any recommendations where I can point him in a direction he should take in this situation?,"['Emotional State', 'Age', 'Profession', 'Marital Status', 'Mental Health Status', 'Economic Status']",6
Where can I find work-from-home jobs that are flexible with my work hours for supplemental income?,['Profession'],1
What kind of jobs are there that lend themselves to the skill set found in good recruiters?,['Profession'],1
What career advice and help can you offer for someone trying to get out of the service industry?,['Profession'],1
What kind of jobs would incorporate my love of traveling?,['Profession'],1
What should my next step be in my career as I feel stagnant in Luxury Car Sales?,"['Profession', 'Age', 'Education Level']",3
How can I discuss the situation with my boss without sounding self-centered?,['Profession'],1
Should I quit the only job I've found over the last 12 months of searching?,"['Profession', 'Economic Status']",2
Do I need more patience to get ahead or should I quit?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Economic Status', 'Education Level']",6
"What career path can I pursue that is competitive, involves adrenaline, and allows me to be part of a real team?",['Profession'],1
How do I make the switch to pursuing a career in dog grooming while managing my financial stability and current job responsibilities?,['Profession'],1
"How do I know what path to choose, and what kind of options are available to me with the skills and experience I have?",['Profession'],1
"Am I potentially getting myself in trouble with this job offer, or is it just a case of Imposter Syndrome?","['Profession', 'Emotional State', 'Economic Status']",3
What are some ways to obtain letters of recommendation for a MS/PhD application when I have no academic connections?,"['Age', 'Profession', 'Education Level', 'Mental Health Status', 'Emotional State']",5
Am I crazy to pursue a bachelor's degree and a career in psychology over the age of 50?,"['Age', 'Education Level']",2
Should I go back home to the UK to look for remote work in Cloudsoft technology?,"['Age', 'Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Marital Status', 'Health Status', 'Mental Health Status', 'Gender']",9
Would it be crazy to scale back our life so that I could transition to a different field (i.e. Accounting)?,['Profession'],1
Should I quit teaching after only 1 year to focus on my Master's degree?,['Profession'],1
Should I quit teaching and focus on my Master's degree or stick it out and try to do both?,"['Profession', 'Economic Status']",2
"What is my safest option and fastest route to earning 45-50k between electro mechanical maintenance and web design and development, and is either plan smart?","['Economic Status', 'Age', 'Profession', 'Education Level', 'Mental Health Status', 'Emotional State', 'Marital Status', 'Health Status']",8
How can I be confident in choosing a career to pursue?,['Profession'],1
Am I an idiot for thinking about pursuing a career in film?,"['Profession', 'Education Level', 'Economic Status', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status']",7
What practical and decent paying jobs are available for my 56-year-old college-educated dad who can no longer work in graphic design?,['Profession'],1
How would I go about starting my own electrical company after finishing my apprenticeship?,['Profession'],1
"What jobs should I be looking for with my diploma in Chemical Engineering Technology, and is it worth going back to university for a BSc in Chemical Engineering?","['Education Level', 'Profession']",2
Has anyone successfully transitioned careers and how did you move from this 'status quo'?,['Profession'],1
"How can I choose a path in grad medicine, counselling psychology, or computer science?",['Profession'],1
What career can I do with a MH Nursing degree outside of health care?,"['Profession', 'Economic Status', 'Age', 'Education Level']",4
Can anyone offer advice to someone in a career/life rut?,['Profession'],1
What can I do to find a job given my education and lack of experience?,['Profession'],1
What should be my career?,"['Profession', 'Economic Status', 'Education Level']",3
"Is it even possible, or worth it for me to try going back to school? Has anyone else gotten a degree later in life? Is this feasible or should I be looking in a different direction?","['Age', 'Education Level']",2
What are some first steps for someone looking to pivot from a policy analyst role to a more hands-on career that makes a difference?,['Profession'],1
Can you help me find a new career path?,"['Profession', 'Age', 'Education Level']",3
What should I do after I graduate if I dislike my field and am unqualified to pursue what I care about?,"['Profession', 'Education Level']",2
Has anyone ever made a career side-step like this? How did you do it?,['Profession'],1
What else can a career switcher do to increase their chances of getting a role in a new industry?,['Profession'],1
How can I plan my next career steps with my given background?,['Profession'],1
What jobs can I get with a BA in Spanish that pay well without additional schooling?,['Education Level'],1
What can I do to improve my job prospects as someone who graduated with a psychology degree and has been out of the workforce for several years?,['Education Level'],1
Is it possible to learn IT from scratch at age 31 without technical knowledge?,['Education Level'],1
What are some tips you have for disabled people going back to work after an extended break?,['Health Status'],1
How do I go about getting a job in a different city or state?,['Profession'],1
"What can I do to get the motivation back in this position, or go about getting a raise when I've only been with my current Financial Controller for 5 months?","['Profession', 'Age', 'Mental Health Status', 'Economic Status', 'Emotional State', 'Education Level']",6
Would the downgrade leave me worse off than living away from family?,"['Emotional State', 'Mental Health Status', 'Age', 'Marital Status', 'Profession', 'Economic Status', 'Health Status', 'Education Level', 'Past Self-Harm History']",9
"Is pursuing a Bachelor of Computer and Information Sciences a logical move for my career, or should I consider self-teaching coding or taking short courses instead?","['Profession', 'Economic Status', 'Age', 'Education Level', 'Emotional State']",5
Should I leave my parents and move in with my girlfriend?,"['Age', 'Emotional State', 'Marital Status', 'Education Level', 'Mental Health Status', 'Economic Status', 'Profession', 'Health Status', 'Gender']",9
"What do you think I should do? Take my mat leave, stay a few more months, then get a new job?","['Profession', 'Economic Status', 'Age', 'Marital Status', 'Health Status', 'Emotional State', 'Education Level', 'Mental Health Status', 'Past Self-Harm History']",9
What should I consider before quitting my job at the 911 center due to high stress and workload?,['Profession'],1
Is there hope for my dad in a boot camp or any other retraining methods?,"['Age', 'Profession', 'Economic Status', 'Mental Health Status']",4
How do I handle an interview request after I've already taken another job?,['Profession'],1
Is it worth giving up the flexibility and perks of my current job to pursue a potentially more exciting role as a revenue analyst?,"['Profession', 'Economic Status']",2
What field would you recommend for someone with no real goal for any particular field and should I pursue financial security or a sense of fulfillment?,"['Emotional State', 'Profession', 'Economic Status', 'Age', 'Education Level', 'Mental Health Status', 'Marital Status', 'Health Status', 'Gender', 'Past Self-Harm History']",10
"What should I pursue in terms of study or career options given my interests, and do you have any recommendations for a summer job outdoors?","['Profession', 'Age', 'Education Level']",3
Any advice on overcoming age perception issues and securing a job offer despite being deemed overqualified or too young?,['Age'],1
What should I do next in my career in Environmental Education when I can't move from Minnesota?,"['Profession', 'Economic Status', 'Age', 'Education Level', 'Health Status']",5
"Has anybody else been in a similar situation and if so, what advice do you have? For those who have spent years in a call center environment, what was your exit strategy and what did you move on to?","['Profession', 'Economic Status', 'Age', 'Emotional State', 'Education Level']",5
"Does anyone know of any career options outside of writing fields for English majors? If so, any advice on this front would be amazing.",['Profession'],1
What advice do you have for finding a better career path?,['Profession'],1
What should I do as a Junior with a rising GPA who is willing to switch to any major?,"['Education Level', 'Profession', 'Age', 'Economic Status', 'Mental Health Status', 'Gender', 'Marital Status', 'Health Status', 'Emotional State']",9
"What career would you recommend for someone with a bachelor's degree in Life Sciences who has scoliosis and needs to avoid long periods of sitting, experiences panic attacks with public speaking and conflict, needs a consistent sleep schedule to manage anxiety and ADHD symptoms, requires time for regular exercise, is open to learning new skills but not becoming a doctor due to cost, and wants to make enough to raise a family in a sunny western state?",['Education Level'],1
How would you advise me to better advertise my lack of experience or highlight what little experience I do have?,"['Profession', 'Age', 'Education Level', 'Emotional State', 'Mental Health Status', 'Marital Status', 'Economic Status', 'Health Status']",8
What advice do you have for making employers comfortable with hiring me for a part-time job?,"['Economic Status', 'Profession']",2
"Could you please point me in the right direction to take for a career path in network administration, including a list of certs and skills to develop independently?","['Profession', 'Economic Status', 'Education Level']",3
What should I study next to maximize my career options in mental health while considering my physical limitations?,['Profession'],1
What can I do to improve my situation?,"['Mental Health Status', 'Emotional State', 'Profession', 'Economic Status', 'Age', 'Marital Status', 'Health Status', 'Education Level']",8
"Has anyone had a similar experience with a boss like this, and maybe some advice on how to handle it?","['Profession', 'Mental Health Status', 'Emotional State', 'Economic Status', 'Marital Status', 'Age', 'Health Status', 'Gender', 'Education Level']",9
Should I go for a master's degree in the US or take a job in India?,"['Education Level', 'Economic Status', 'Age', 'Profession', 'Emotional State', 'Health Status', 'Gender', 'Mental Health Status', 'Marital Status']",9
Is it worth sticking it out to a long career for good money in sales or would I be better off doing something like HR for $60-80k?,"['Profession', 'Economic Status']",2
"Is working a stable, decent paying job from age 22 and making good investments better than going into extreme debt, getting a graduate degree (medicine or law), and earning six-figures by the time I’m 28-30?","['Age', 'Profession', 'Economic Status']",3
What should I do about my career being at a dead end?,"['Profession', 'Economic Status']",2
Should I continue in the same field of marketing?,"['Profession', 'Economic Status', 'Emotional State']",3
How can I help my mom get back into software consulting/project management?,['Profession'],1
What options do I have for finding a job that pays well and fits my family situation?,['Profession'],1
"Should I pursue my interest in agriculture and see where it goes, or follow a different path?","['Profession', 'Economic Status']",2
Should I take the new job offer with a $10k raise given the pros and cons I mentioned?,['Economic Status'],1
"Should I choose the devil I know, or the angel I don't for my next 6 months before starting my MBA?","['Profession', 'Economic Status', 'Emotional State', 'Age', 'Education Level', 'Health Status', 'Marital Status', 'Mental Health Status']",8
Does anyone have any recommendations on courses/diplomas I can use to fill a gap on my resume that potential employers will find appealing?,['Education Level'],1
"What should I study to gain transferable skills for a smaller city, considering my benefit of nearly-free tuition?",['Education Level'],1
Can you offer guidance on what profession is the most adequate for me?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status', 'Gender', 'Marital Status']",9
What are some career paths I can transition to with a background in mathematics and teaching experience?,['Profession'],1
How do I convey my extensive experience and value to a company's Production/Warehouse needs without any formal training or certifications on my resume?,"['Profession', 'Education Level', 'Economic Status']",3
