User Query,Attribute Path,Path Length
What direction should I go with my business?,"['Profession', 'Economic Status', 'Emotional State', 'Education Level', 'Age', 'Health Status']",6
What are some possible career paths for an extreme introvert with a degree in English and Communication?,"['Profession', 'Age', 'Emotional State', 'Economic Status', 'Health Status', 'Gender', 'Education Level', 'Mental Health Status', 'Marital Status', 'Past Self-Harm History']",10
What should I do if I want to get my life back and start a career?,"['Profession', 'Economic Status', 'Education Level']",3
How should I approach the situation regarding my salary increase and potential promotion at my current company?,"['Profession', 'Economic Status', 'Emotional State']",3
How do I best navigate the transition into software engineering?,"['Profession', 'Education Level', 'Economic Status', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status', 'Gender']",8
How do I decide on a main career path?,"['Education Level', 'Profession', 'Economic Status', 'Emotional State', 'Age', 'Health Status']",6
How do I decide if I should stay with my current company or look elsewhere/go back to school/etc.?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Age', 'Health Status']",6
What should I do if I don't have a plan or vision for what career to pursue?,"['Profession', 'Economic Status', 'Emotional State', 'Education Level', 'Age']",5
Is a certificate good enough for surgery tech or should I dedicate to the AAS? Does anyone have experience going from stay at home mom to career driven?,"['Economic Status', 'Education Level', 'Profession', 'Health Status', 'Emotional State', 'Age', 'Marital Status', 'Mental Health Status', 'Gender']",9
What certificates or what kind of education can I go for that will have a payoff to it?,"['Education Level', 'Economic Status', 'Profession', 'Age']",4
"Should I slog it out for 3 years to attempt to increase the chance of myself getting into my dream job, or should I opt for better work-life balance but risk not getting my dream job?","['Emotional State', 'Profession', 'Economic Status']",3
What should I do career-wise if I have no idea what I want to do?,"['Profession', 'Economic Status', 'Emotional State', 'Education Level']",4
Should I quit my job in my field and passion to pursue something with higher pay and hopes of eventually returning to my field of passion?,"['Emotional State', 'Economic Status', 'Age']",3
Is a long commute worth the better lifestyle?,"['Economic Status', 'Profession', 'Health Status', 'Emotional State']",4
Are there any jobs that are the same as special needs support but that bring in more money?,"['Profession', 'Education Level', 'Economic Status', 'Age', 'Health Status', 'Emotional State']",6
What career paths (that wouldn't require another ten years in school) have good salary potential these days?,"['Education Level', 'Profession', 'Economic Status', 'Health Status']",4
"Do I actually hate my job, or does everybody feel this way?","['Profession', 'Emotional State', 'Mental Health Status', 'Economic Status', 'Health Status', 'Education Level']",6
"Would an internship be fruitful for me to try and acquire at this time, and would anyone even take me?","['Education Level', 'Profession', 'Economic Status', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status', 'Marital Status', 'Gender', 'Past Self-Harm History']",10
What should I study to become a functional junior developer in 1 year?,"['Education Level', 'Profession', 'Economic Status', 'Emotional State', 'Health Status', 'Age', 'Mental Health Status', 'Marital Status', 'Gender', 'Past Self-Harm History']",10
"How can I help my wife find a full-time CT Tech or X-Ray Tech job at a medical clinic with normal, weekday hours and benefits?","['Profession', 'Education Level', 'Economic Status', 'Health Status', 'Age', 'Emotional State', 'Gender', 'Marital Status', 'Mental Health Status', 'Past Self-Harm History']",10
Are there any careers at the intersection of Creative Marketing and Data Science?,"['Profession', 'Education Level', 'Economic Status', 'Health Status', 'Emotional State', 'Age', 'Mental Health Status']",7
"What career or life advice can you offer to help me find stability and possibly a new career, considering my interests in natural health, animals, and art?","['Profession', 'Economic Status', 'Emotional State']",3
"Should I keep working full time while going to school part time despite worsening my depression, or take out personal loans and work less to focus on my education?","['Mental Health Status', 'Economic Status', 'Emotional State', 'Past Self-Harm History', 'Profession']",5
"Should I keep working full time while going to school part time and risk worsening burnout and depression, or should I take out personal loans on top of my graduate school loans to focus on completing my program?","['Economic Status', 'Mental Health Status', 'Emotional State', 'Profession']",4
Are there any courses I can take to give me further qualification in video editing (that aren’t degrees)?,"['Education Level', 'Profession', 'Economic Status', 'Health Status', 'Age']",5
Can someone either reassure me I should stay or pour some cold water on my face and tell me I've needed to go for a while? What should I do?,"['Emotional State', 'Economic Status', 'Mental Health Status', 'Profession', 'Past Self-Harm History', 'Marital Status', 'Age', 'Health Status']",8
What is the best job or thing to do for me right now as an 18 year old student?,"['Economic Status', 'Education Level', 'Emotional State', 'Profession', 'Age']",5
What are my options for transitioning to a career in management or starting a business given my background?,"['Profession', 'Economic Status', 'Education Level', 'Age', 'Emotional State', 'Health Status']",6
Should I shift my career from Software Developer to Sales Executive?,"['Profession', 'Economic Status', 'Emotional State', 'Age', 'Mental Health Status']",5
What industry might be good to look into for someone with my background?,"['Profession', 'Economic Status', 'Education Level']",3
Does anyone have a perspective on INFOSEC/Cybersecurity or Financial Planning as career options?,"['Education Level', 'Profession', 'Economic Status', 'Age']",4
Should I pursue a career in cosmetology that interests me or go into the medical field for better financial stability?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Age', 'Health Status', 'Mental Health Status', 'Marital Status']",8
What career options are available for someone looking to switch from a toxic sales job?,"['Economic Status', 'Education Level', 'Profession', 'Emotional State']",4
"Would it be best to try to stick things out and keep this position at the risk of hurting my numbers/possibly being let go for a drop in performance, or should I cut and run, get help, and keep my recent positive streak for a future resume?","['Profession', 'Economic Status', 'Emotional State', 'Mental Health Status']",4
How can I navigate my current job situation mentally and professionally?,"['Profession', 'Emotional State', 'Economic Status']",3
"What would be a good career path for me to avoid being stuck in a non-GIS role, considering my current tech support job and our family plans?","['Economic Status', 'Profession', 'Education Level', 'Age', 'Marital Status', 'Emotional State', 'Health Status', 'Mental Health Status', 'Gender', 'Past Self-Harm History']",10
Any recommendations where I can point him in a direction he should take in this situation?,"['Emotional State', 'Age', 'Profession', 'Economic Status', 'Mental Health Status', 'Marital Status', 'Education Level', 'Past Self-Harm History', 'Health Status']",9
Where can I find work-from-home jobs that are flexible with my work hours for supplemental income?,"['Profession', 'Economic Status', 'Education Level', 'Health Status', 'Marital Status', 'Age']",6
What kind of jobs are there that lend themselves to the skill set found in good recruiters?,"['Profession', 'Education Level', 'Economic Status', 'Emotional State', 'Health Status', 'Age', 'Mental Health Status', 'Marital Status', 'Gender']",9
What career advice and help can you offer for someone trying to get out of the service industry?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Age', 'Health Status', 'Marital Status']",7
What kind of jobs would incorporate my love of traveling?,"['Profession', 'Age', 'Economic Status', 'Health Status', 'Education Level']",5
What should my next step be in my career as I feel stagnant in Luxury Car Sales?,"['Profession', 'Age', 'Emotional State', 'Economic Status', 'Education Level', 'Mental Health Status']",6
How can I discuss the situation with my boss without sounding self-centered?,"['Profession', 'Emotional State', 'Economic Status', 'Education Level', 'Mental Health Status', 'Age']",6
Should I quit the only job I've found over the last 12 months of searching?,"['Emotional State', 'Economic Status', 'Profession', 'Age', 'Mental Health Status']",5
Do I need more patience to get ahead or should I quit?,"['Emotional State', 'Economic Status', 'Profession']",3
"What career path can I pursue that is competitive, involves adrenaline, and allows me to be part of a real team?","['Health Status', 'Age', 'Education Level', 'Emotional State']",4
How do I make the switch to pursuing a career in dog grooming while managing my financial stability and current job responsibilities?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Age', 'Health Status']",6
"How do I know what path to choose, and what kind of options are available to me with the skills and experience I have?","['Profession', 'Economic Status', 'Education Level', 'Health Status', 'Emotional State', 'Mental Health Status', 'Age', 'Marital Status', 'Gender']",9
"Am I potentially getting myself in trouble with this job offer, or is it just a case of Imposter Syndrome?","['Mental Health Status', 'Profession', 'Economic Status', 'Emotional State', 'Education Level', 'Age']",6
What are some ways to obtain letters of recommendation for a MS/PhD application when I have no academic connections?,"['Profession', 'Education Level', 'Emotional State', 'Age', 'Economic Status', 'Mental Health Status', 'Marital Status', 'Health Status', 'Gender', 'Past Self-Harm History']",10
Am I crazy to pursue a bachelor's degree and a career in psychology over the age of 50?,"['Age', 'Emotional State', 'Economic Status', 'Education Level']",4
