User Query,Attribute Path,Path Length
"How can I better manage my limited personal time while balancing work, study, and family responsibilities?",['Education Level'],1
Where do I start with applying to college and preparing for med school at 24?,['Education Level'],1
What alternative funding sources are available for a low-income female graduate student in public health?,"['Education Level', 'Economic Status']",2
How should I confront my roommate about her behavior?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Economic Status', 'Marital Status', 'Age', 'Profession', 'Gender', 'Health Status', 'Past Self-Harm History']",10
What motivates y’all? What keeps you going even when things get really bad? What are some healthy habits I can curate for a better life?,"['Emotional State', 'Mental Health Status']",2
"Is there any way for me to find accurate comparisons of entry-level medical jobs, including wage, work actually done, and demand for the job?","['Education Level', 'Profession']",2
How can I find confidence in my job prospects with a BS in CS when I feel college didn't teach me anything useful?,"['Education Level', 'Profession', 'Economic Status']",3
Any advice on where to begin writing my scholarship essay?,['Education Level'],1
Is it normal to be this scared as a senior in college and is getting internships hard for others?,"['Emotional State', 'Education Level']",2
What should I do? Should I switch degrees or just continue and pursue a master's to become a psychologist?,"['Education Level', 'Profession', 'Mental Health Status', 'Emotional State', 'Economic Status', 'Age', 'Marital Status', 'Health Status', 'Past Self-Harm History', 'Gender']",10
Is there anyone else who was in a similar situation and has tips for transferring out of state?,"['Education Level', 'Profession', 'Emotional State', 'Age', 'Economic Status', 'Mental Health Status']",6
What are the requirements to graduate with an AA in Art from Weber State University?,['Education Level'],1
Is it normal for other seniors to experience senioritis like this?,"['Age', 'Education Level', 'Mental Health Status', 'Emotional State', 'Profession', 'Economic Status', 'Marital Status']",7
Should I attend University of Washington and risk $200k debt or choose a more affordable college option?,"['Economic Status', 'Education Level', 'Profession', 'Mental Health Status', 'Emotional State', 'Age', 'Health Status']",7
How can I pass College Algebra on my third attempt while dealing with my difficulties in focusing and my disability?,"['Education Level', 'Emotional State', 'Mental Health Status']",3
"What do you think about going back to college for a computer engineering degree at 38, and experiencing the college life I missed?",['Education Level'],1
What is a corporate communications course all about?,['Education Level'],1
What do I do about changing majors and the fear of quitting because it's hard?,"['Emotional State', 'Education Level', 'Mental Health Status', 'Economic Status']",4
How do I get motivation to do my schoolwork and not procrastinate?,"['Education Level', 'Emotional State', 'Mental Health Status']",3
How do I convince myself I won't regret either dropping out of college with a year left or possibly wasting a year of my life by staying?,"['Education Level', 'Emotional State', 'Mental Health Status', 'Economic Status', 'Profession', 'Age', 'Health Status']",7
Would it be the best thing for me to take summer classes considering workload and financial aspect?,"['Economic Status', 'Education Level', 'Mental Health Status']",3
How do you go about a medical withdrawal and how would it affect my scholarship if I ended up wanting to return?,"['Mental Health Status', 'Emotional State', 'Education Level', 'Health Status', 'Economic Status', 'Profession']",6
What are my options for discussing a career change with my parents and finding a part-time job?,['Profession'],1
How can I explain my dropping grades to my professor without sounding like I'm making excuses?,"['Education Level', 'Emotional State', 'Mental Health Status', 'Economic Status', 'Profession', 'Age', 'Health Status']",7
How do I go about safely finding roommates when I'm in a commuter college?,"['Emotional State', 'Education Level', 'Mental Health Status', 'Economic Status']",4
Is it worth fighting my roommate's behavior when she doesn't follow the rules and isn't paying for school?,"['Education Level', 'Emotional State', 'Economic Status', 'Profession', 'Mental Health Status', 'Marital Status', 'Health Status', 'Age', 'Past Self-Harm History', 'Gender']",10
Is zookeeping that competitive of a job? Is it okay if I have C’s in my classes?,['Education Level'],1
Can you appeal a rejection from a first choice dream school?,"['Education Level', 'Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Marital Status', 'Economic Status']",7
"What major should I choose in college given my varied interests in music, French, theatre, philosophy, and other subjects?",['Education Level'],1
Should I pursue what makes me happy over something I know will land me a job?,"['Emotional State', 'Education Level', 'Economic Status', 'Profession', 'Mental Health Status', 'Marital Status', 'Health Status', 'Past Self-Harm History', 'Age', 'Gender']",10
What should I include in my list of accomplishments for my professor to consider when writing a letter of recommendation?,['Education Level'],1
Has anyone gone through something similar? Have you given up or continued to keep going?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Education Level', 'Age']",5
"Would you take an extra year of college to save money and focus on mental/physical health, or move out and finish a year early?","['Education Level', 'Mental Health Status']",2
Is my next semester schedule too hard?,"['Education Level', 'Emotional State', 'Profession', 'Mental Health Status']",4
"How do I multi-task between a job, college, and attending a veterinary technician clinic?","['Education Level', 'Profession', 'Economic Status']",3
"Has anyone experienced loneliness and lack of motivation after moving back home, and can you offer advice?","['Emotional State', 'Education Level', 'Mental Health Status', 'Economic Status']",4
Should I return to college to study physics despite my concerns about math skills and financial stability?,"['Education Level', 'Economic Status', 'Emotional State']",3
Is taking 13 summer college credits too many?,['Education Level'],1
