User Query,Attribute Path,Path Length
"How can I better manage my limited personal time while balancing work, study, and family responsibilities?",[],0
Where do I start with applying to college and preparing for med school at 24?,[],0
What alternative funding sources are available for a low-income female graduate student in public health?,[],0
How should I confront my roommate about her behavior?,[],0
What motivates y’all? What keeps you going even when things get really bad? What are some healthy habits I can curate for a better life?,[],0
"Is there any way for me to find accurate comparisons of entry-level medical jobs, including wage, work actually done, and demand for the job?",[],0
How can I find confidence in my job prospects with a BS in CS when I feel college didn't teach me anything useful?,[],0
Any advice on where to begin writing my scholarship essay?,[],0
Is it normal to be this scared as a senior in college and is getting internships hard for others?,[],0
What should I do? Should I switch degrees or just continue and pursue a master's to become a psychologist?,[],0
Is there anyone else who was in a similar situation and has tips for transferring out of state?,[],0
What are the requirements to graduate with an AA in Art from Weber State University?,[],0
Is it normal for other seniors to experience senioritis like this?,[],0
Should I attend University of Washington and risk $200k debt or choose a more affordable college option?,['Economic Status'],1
How can I pass College Algebra on my third attempt while dealing with my difficulties in focusing and my disability?,[],0
"What do you think about going back to college for a computer engineering degree at 38, and experiencing the college life I missed?",[],0
What is a corporate communications course all about?,[],0
What do I do about changing majors and the fear of quitting because it's hard?,[],0
How do I get motivation to do my schoolwork and not procrastinate?,[],0
How do I convince myself I won't regret either dropping out of college with a year left or possibly wasting a year of my life by staying?,[],0
Would it be the best thing for me to take summer classes considering workload and financial aspect?,[],0
How do you go about a medical withdrawal and how would it affect my scholarship if I ended up wanting to return?,[],0
What are my options for discussing a career change with my parents and finding a part-time job?,[],0
How can I explain my dropping grades to my professor without sounding like I'm making excuses?,[],0
How do I go about safely finding roommates when I'm in a commuter college?,[],0
Is it worth fighting my roommate's behavior when she doesn't follow the rules and isn't paying for school?,[],0
Is zookeeping that competitive of a job? Is it okay if I have C’s in my classes?,"['Profession', 'Education Level']",2
Can you appeal a rejection from a first choice dream school?,[],0
"What major should I choose in college given my varied interests in music, French, theatre, philosophy, and other subjects?",[],0
Should I pursue what makes me happy over something I know will land me a job?,[],0
What should I include in my list of accomplishments for my professor to consider when writing a letter of recommendation?,[],0
Has anyone gone through something similar? Have you given up or continued to keep going?,[],0
"Would you take an extra year of college to save money and focus on mental/physical health, or move out and finish a year early?",[],0
Is my next semester schedule too hard?,[],0
"How do I multi-task between a job, college, and attending a veterinary technician clinic?",[],0
"Has anyone experienced loneliness and lack of motivation after moving back home, and can you offer advice?",[],0
Should I return to college to study physics despite my concerns about math skills and financial stability?,[],0
Is taking 13 summer college credits too many?,[],0
How do I get over this feeling of regret for not having fun in college?,[],0
"How can I cope with feeling overwhelmed and burnt out while balancing work, classes, and my personal life?",[],0
"Is $8,315 per year too much for a BS in Education (elementary), and is $17,315 reasonable including living expenses?",[],0
Are there programs where I am able to take out loans to cover the full cost of my schooling even if my credit is not good and my parents don't qualify for Parent PLUS loans?,[],0
How can I move past my own insecurities and let myself relax a little?,[],0
Am I being too self-conscious about receiving packages?,[],0
Anyone have any advice for managing a full load of courses especially with health problems?,[],0
How can I better manage my situation as a music major living off-campus?,[],0
Should I move out for the last 6 months or should I just keep living at parents' house till I graduate?,[],0
How do you cope with feeling out of place and anxious in a new university environment?,[],0
Any tips on managing full time school with working basically full time?,[],0
Is pursuing a business admin/management degree the right type of degree for a career in the culinary world?,[],0
"Is it worth going back to college at 29 for CIS/MIS, or should I try to advance myself through other means like a sales job?",[],0
Do I have any options if my private student loan gets denied because my cost of attendance is maxed out?,[],0
How can I manage feeling behind and struggling to keep up with college coursework?,[],0
How can I resume with the Dean or go over her head to the president about my situation in the welding program?,['Profession'],1
What advice can you give me to speak with my advisor?,[],0
"If I pursued a career in Engineering but went back to IT, could that hurt my career outlook?",[],0
Do you have any tips for managing a rigorous course load while trying to make friends in university?,[],0
Do you have any other suggestions for dealing with missing assignments?,[],0
Any suggestions on how to manage the demands of school these next few weeks while keeping my husband ok?,[],0
How can I manage my situation after being a college dropout?,[],0
How can I become more social and meet new people as a college junior?,[],0
How can I still make my dream of pursuing computer science and med school come true given my financial and credit transfer issues?,[],0
Does anyone have any advice on how to motivate my girlfriend to do her homework?,[],0
Is it feasible and worth it to dual-enroll in a community college and a technical school for plumbing?,[],0
Should I even go to college?,"['Education Level', 'Profession']",2
Is it worth it to take a semester off after I finish classes this summer? Or is it better just to push through?,[],0
Has anyone else experienced something like this?,['Emotional State'],1
Should I transfer to another school?,[],0
How can I manage my stress and focus on my school work?,[],0
How can I find motivation and gain experience to secure a job after graduation?,[],0
Am I justified in asking for an incomplete in the course?,"['Emotional State', 'Profession']",2
How did you narrow your choice for which degree to pursue in college?,[],0
Should I try for an internship or just buckle down on classes and keep selling stuff?,[],0
