User Query,Attribute Path,Path Length
"How can I better manage my limited personal time while balancing work, study, and family responsibilities?","['Profession', 'Economic Status', 'Emotional State']",3
Where do I start with applying to college and preparing for med school at 24?,['Age'],1
What alternative funding sources are available for a low-income female graduate student in public health?,"['Profession', 'Economic Status']",2
How should I confront my roommate about her behavior?,"['Emotional State', 'Mental Health Status']",2
What motivates y’all? What keeps you going even when things get really bad? What are some healthy habits I can curate for a better life?,"['Mental Health Status', 'Emotional State', 'Health Status']",3
"Is there any way for me to find accurate comparisons of entry-level medical jobs, including wage, work actually done, and demand for the job?","['Profession', 'Economic Status', 'Education Level']",3
How can I find confidence in my job prospects with a BS in CS when I feel college didn't teach me anything useful?,"['Education Level', 'Profession']",2
Any advice on where to begin writing my scholarship essay?,"['Profession', 'Economic Status']",2
Is it normal to be this scared as a senior in college and is getting internships hard for others?,"['Emotional State', 'Mental Health Status', 'Age']",3
What should I do? Should I switch degrees or just continue and pursue a master's to become a psychologist?,"['Profession', 'Education Level', 'Economic Status']",3
Is there anyone else who was in a similar situation and has tips for transferring out of state?,"['Economic Status', 'Profession']",2
What are the requirements to graduate with an AA in Art from Weber State University?,['Education Level'],1
Is it normal for other seniors to experience senioritis like this?,"['Age', 'Health Status', 'Emotional State']",3
Should I attend University of Washington and risk $200k debt or choose a more affordable college option?,"['Economic Status', 'Profession']",2
How can I pass College Algebra on my third attempt while dealing with my difficulties in focusing and my disability?,"['Emotional State', 'Mental Health Status', 'Education Level']",3
"What do you think about going back to college for a computer engineering degree at 38, and experiencing the college life I missed?",['Age'],1
What is a corporate communications course all about?,"['Profession', 'Education Level']",2
What do I do about changing majors and the fear of quitting because it's hard?,"['Profession', 'Emotional State', 'Economic Status', 'Education Level']",4
How do I get motivation to do my schoolwork and not procrastinate?,"['Emotional State', 'Education Level']",2
How do I convince myself I won't regret either dropping out of college with a year left or possibly wasting a year of my life by staying?,"['Education Level', 'Emotional State', 'Economic Status', 'Profession', 'Mental Health Status', 'Past Self-Harm History']",6
Would it be the best thing for me to take summer classes considering workload and financial aspect?,"['Economic Status', 'Profession', 'Education Level']",3
How do you go about a medical withdrawal and how would it affect my scholarship if I ended up wanting to return?,"['Health Status', 'Economic Status', 'Profession']",3
What are my options for discussing a career change with my parents and finding a part-time job?,"['Profession', 'Economic Status', 'Age']",3
How can I explain my dropping grades to my professor without sounding like I'm making excuses?,"['Education Level', 'Mental Health Status']",2
How do I go about safely finding roommates when I'm in a commuter college?,"['Profession', 'Emotional State', 'Economic Status']",3
Is it worth fighting my roommate's behavior when she doesn't follow the rules and isn't paying for school?,"['Economic Status', 'Mental Health Status', 'Profession', 'Emotional State']",4
Is zookeeping that competitive of a job? Is it okay if I have C’s in my classes?,"['Economic Status', 'Education Level', 'Profession']",3
Can you appeal a rejection from a first choice dream school?,['Economic Status'],1
"What major should I choose in college given my varied interests in music, French, theatre, philosophy, and other subjects?","['Profession', 'Economic Status', 'Emotional State', 'Education Level']",4
Should I pursue what makes me happy over something I know will land me a job?,"['Emotional State', 'Profession', 'Economic Status']",3
What should I include in my list of accomplishments for my professor to consider when writing a letter of recommendation?,"['Education Level', 'Emotional State']",2
Has anyone gone through something similar? Have you given up or continued to keep going?,"['Past Self-Harm History', 'Emotional State', 'Mental Health Status']",3
"Would you take an extra year of college to save money and focus on mental/physical health, or move out and finish a year early?","['Emotional State', 'Mental Health Status', 'Education Level']",3
Is my next semester schedule too hard?,['Economic Status'],1
"How do I multi-task between a job, college, and attending a veterinary technician clinic?","['Profession', 'Economic Status', 'Education Level', 'Emotional State']",4
"Has anyone experienced loneliness and lack of motivation after moving back home, and can you offer advice?","['Mental Health Status', 'Emotional State']",2
Should I return to college to study physics despite my concerns about math skills and financial stability?,"['Economic Status', 'Profession', 'Education Level']",3
Is taking 13 summer college credits too many?,"['Economic Status', 'Profession']",2
How do I get over this feeling of regret for not having fun in college?,"['Mental Health Status', 'Past Self-Harm History']",2
"How can I cope with feeling overwhelmed and burnt out while balancing work, classes, and my personal life?",['Emotional State'],1
"Is $8,315 per year too much for a BS in Education (elementary), and is $17,315 reasonable including living expenses?","['Economic Status', 'Education Level', 'Profession']",3
Are there programs where I am able to take out loans to cover the full cost of my schooling even if my credit is not good and my parents don't qualify for Parent PLUS loans?,['Economic Status'],1
How can I move past my own insecurities and let myself relax a little?,['Emotional State'],1
Am I being too self-conscious about receiving packages?,"['Emotional State', 'Health Status']",2
Anyone have any advice for managing a full load of courses especially with health problems?,"['Health Status', 'Mental Health Status', 'Economic Status']",3
How can I better manage my situation as a music major living off-campus?,"['Profession', 'Economic Status', 'Emotional State']",3
Should I move out for the last 6 months or should I just keep living at parents' house till I graduate?,"['Economic Status', 'Past Self-Harm History', 'Emotional State']",3
How do you cope with feeling out of place and anxious in a new university environment?,"['Emotional State', 'Mental Health Status']",2
Any tips on managing full time school with working basically full time?,"['Economic Status', 'Profession']",2
Is pursuing a business admin/management degree the right type of degree for a career in the culinary world?,"['Profession', 'Education Level']",2
"Is it worth going back to college at 29 for CIS/MIS, or should I try to advance myself through other means like a sales job?","['Profession', 'Economic Status', 'Education Level']",3
Do I have any options if my private student loan gets denied because my cost of attendance is maxed out?,"['Economic Status', 'Profession', 'Education Level']",3
How can I manage feeling behind and struggling to keep up with college coursework?,['Emotional State'],1
How can I resume with the Dean or go over her head to the president about my situation in the welding program?,"['Profession', 'Economic Status', 'Emotional State']",3
What advice can you give me to speak with my advisor?,"['Emotional State', 'Economic Status']",2
