User Query,Attribute Path,Path Length
Anyone have any suggestions on what I can do about an out-of-network medical bill from a 5-minute visit?,['Health Status'],1
Should we stop monthly contributions to our Roth IRAs and put that money into our savings so we can invest it as a lump sum at the end of each year?,"['Age', 'Profession']",2
What should I do to start paying off my son's medical bills and help him get student loans despite his debt being in collections?,"['Age', 'Education Level', 'Profession', 'Economic Status', 'Mental Health Status']",5
Is $1M in savings enough for me to chill out and work only jobs I'm passionate about?,"['Economic Status', 'Profession', 'Education Level', 'Mental Health Status', 'Emotional State', 'Age', 'Health Status']",7
"Can I contribute a smaller amount per month to a Roth IRA and adjust it any time, and are there risks if our income increases?",['Economic Status'],1
What should I be doing now at 20 years old to make money with dropshipping and stock trading?,"['Age', 'Education Level', 'Profession', 'Economic Status']",4
"What should I do with the $40,000 from life insurance to ensure I don't waste it?",[],0
Should she take money out of her 401K to help pay for school?,"['Education Level', 'Age', 'Economic Status']",3
How do I distribute additional money towards retirement while still keeping flexibility for a future home purchase?,['Economic Status'],1
Would it be better to continue working for my parents' business or seek independence and find a job of my own?,"['Profession', 'Age', 'Education Level', 'Economic Status']",4
What would be the best thing to do about the medical collection that doesn't appear on the credit report anymore? Should we pay the debt anyways or leave it unpaid?,"['Economic Status', 'Profession']",2
"Do I go the traditional route while I have a fairly high debt burden and need more cash in hand, or do the benefits of a roth account still outweigh the negatives?",['Economic Status'],1
Is my plan to pay off my credit card debt using a private student loan a terrible idea?,"['Economic Status', 'Profession', 'Education Level', 'Mental Health Status']",4
"What are my options if I cannot afford to pay the $3114 balance to register for the spring semester, and do I have to miss the semester or apply to a different college?",['Economic Status'],1
What is the best course of action for my career decision this week given my three options?,"['Profession', 'Education Level', 'Economic Status', 'Mental Health Status', 'Emotional State']",5
"Does this financial plan sound financially sound, and what should I adjust or have not accounted for?","['Economic Status', 'Profession', 'Education Level', 'Age', 'Mental Health Status']",5
How can I save more money without starving myself?,['Economic Status'],1
"Should I max out my company 401k first before my Roth IRA, and what should I invest in?","['Economic Status', 'Profession', 'Age', 'Education Level', 'Mental Health Status']",5
