User Query,Attribute Path,Path Length
What should I do if I'm worried my girlfriend is going to dump me and it's affecting my mental health?,"['Mental Health Status', 'Emotional State']",2
What should I do if my brother suddenly shows erratic and agitated behavior?,"['Mental Health Status', 'Emotional State', 'Education Level', 'Past Self-Harm History']",4
How can I get help for my depression without my anger issues returning?,"['Mental Health Status', 'Emotional State', 'Past Self-Harm History', 'Education Level', 'Profession', 'Economic Status', 'Marital Status', 'Health Status', 'Age', 'Gender']",10
How can I find a therapist or psychiatrist who is accepting new patients?,['Mental Health Status'],1
How can I improve my communication skills with my boyfriend and manage my insecurities?,"['Emotional State', 'Education Level', 'Marital Status', 'Mental Health Status']",4
"Is it OCD, ADD, both, or something else?","['Mental Health Status', 'Emotional State', 'Education Level', 'Profession']",4
How can I improve my ability to contribute to conversations and discussions both in person and professionally?,"['Education Level', 'Profession']",2
How can I demonstrate gratitude to my parents when I'm focused on finishing high school and dealing with my mental health?,['Emotional State'],1
What can my friend do to manage her trauma-related sleep disorder?,"['Emotional State', 'Education Level', 'Mental Health Status', 'Economic Status', 'Health Status']",5
How can I manage my emotions better to continue being happy and fulfilled?,"['Emotional State', 'Mental Health Status', 'Education Level']",3
How can I find something I am actually good at or okay at?,"['Education Level', 'Emotional State', 'Profession']",3
How can I motivate myself to study despite feeling apathetic and overwhelmed?,"['Emotional State', 'Education Level']",2
How can I explain my decision to take a break from alcohol to friends and family without feeling awkward?,"['Emotional State', 'Mental Health Status', 'Economic Status', 'Education Level']",4
How should I overcome feeling depressed whenever I think of my ex-girlfriend?,"['Mental Health Status', 'Emotional State', 'Education Level', 'Past Self-Harm History', 'Economic Status']",5
Does anyone have any helpful advice or anything?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Profession', 'Economic Status', 'Age', 'Health Status', 'Marital Status', 'Gender', 'Past Self-Harm History']",10
Why is mental health support so inadequate when people reach out for help in the UK?,"['Mental Health Status', 'Emotional State', 'Past Self-Harm History', 'Education Level', 'Economic Status', 'Age', 'Profession', 'Marital Status', 'Gender', 'Health Status']",10
How can I get my life together and stop feeling unhappy during the week while doing my apprenticeship?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Economic Status', 'Profession']",5
What is online therapy?,"['Emotional State', 'Mental Health Status', 'Education Level']",3
Am I the only one who feels this way?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Past Self-Harm History', 'Age', 'Economic Status', 'Gender', 'Marital Status']",8
How can I cope with stopping my medication and manage my household responsibilities?,"['Mental Health Status', 'Emotional State', 'Economic Status']",3
Am I the only one who feels this way?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Past Self-Harm History', 'Age', 'Economic Status', 'Gender', 'Marital Status']",8
