User Query,Attribute Path,Path Length
Any tips from you more adult adults for moving 6+ hours away from home for the first time?,['Age'],1
"What should I do now that I'm 30 and have no job, no car, and no money saved up?","['Economic Status', 'Education Level', 'Mental Health Status']",3
How can I manage adult responsibilities effectively?,['Age'],1
How can I cope with the fear of having a mortgage until 2049?,['Economic Status'],1
What are the options for buying an apartment in NYC as a first-time homebuyer with minimal credit history and limited down payment?,"['Economic Status', 'Profession', 'Education Level', 'Age', 'Mental Health Status']",5
"What are the proper steps to take to save for a house, build credit, and understand any special home-buying costs?",['Economic Status'],1
Anyone here 29 years old with no career? Anyone here on the same boat? Or was but survived? Any advice will help.,"['Age', 'Profession', 'Education Level', 'Mental Health Status']",4
"Has anyone else dealt with feeling behind in life at my age, and do you have any good tips for me?","['Age', 'Education Level']",2
Am I a loser?,[],0
What should I be focusing on in my early 20s?,"['Age', 'Education Level']",2
"Am I doing this right in trying to get an apartment, and what am I missing?","['Age', 'Profession', 'Economic Status', 'Education Level', 'Mental Health Status', 'Emotional State']",6
Is doing 15 credit hours per semester to get an associate of arts degree in a year and a half doable?,['Education Level'],1
Has anyone else dealt with being unsure about buying a first house due to not wanting the responsibility that comes with it? What did you do?,"['Age', 'Profession']",2
How do you deal with the crippling realization that you'll never have time to pursue your dreams now that you're an adult?,[],0
What should I do when my adulting goes wrong and I'm stuck in a bad living situation with my apartment?,['Economic Status'],1
,[],0
How should I handle my feelings after a sexual experience with a friend?,[],0
What is a better plan for managing my college education and career goals given my financial and personal challenges?,"['Education Level', 'Economic Status']",2
How did you cope with being separated from your parents?,[],0
Where can I find a place to rent within my budget for me to live alone?,['Economic Status'],1
"How can I find a career with benefits, a creative aspect, and great coworkers?",['Profession'],1
"How do I move out of my parents' house, especially if I have to move to another city due to affordability?",['Education Level'],1
Any suggestions on how to get hired?,"['Profession', 'Education Level', 'Economic Status', 'Mental Health Status']",4
"Am I happy and if not what am I doing to make myself happy? If I am, can I do more of it?",['Emotional State'],1
How can I move out and live on my own without a proper education to get a decent job?,"['Economic Status', 'Profession', 'Education Level', 'Mental Health Status']",4
How can I create a will and include burial wishes using an online service?,['Age'],1
What are some jobs I may be qualified for or some steps I can take to find a job?,['Profession'],1
"What should be my first steps in transitioning to a small business owner and planning for home acquisition, adoption, and investments?","['Profession', 'Economic Status']",2
What should I do about my overprotective mom who is against me traveling to Thailand alone?,"['Age', 'Profession', 'Mental Health Status', 'Economic Status']",4
When does the feeling of being an adult kick in?,['Age'],1
How can I make friends as an adult besides online?,['Education Level'],1
How do I forewarn my boss about needing time off due to my dad's illness?,['Age'],1
"Should I focus on saving for a car, or on renting an apartment?","['Economic Status', 'Profession', 'Education Level', 'Age', 'Mental Health Status', 'Emotional State']",6
Can someone give me a rundown of what my options are for an auto loan and insurance? How much should I spend? Is it better to go new or used? Who should I buy from?,"['Economic Status', 'Profession', 'Education Level', 'Age', 'Mental Health Status']",5
How can I become more street smart with limited experience?,"['Age', 'Profession']",2
What are my best options for buying a car with no credit after an accident?,"['Age', 'Economic Status', 'Profession', 'Mental Health Status']",4
How do I become better with finances?,['Economic Status'],1
How do I get better at remembering things?,[],0
How can I get my parents (primarily my mom) to calm down and let me go without hurting them or starting a war?,[],0
What did you do to get cooking after work?,[],0
"Is it normal to feel inadequate and behind when you don't understand adult responsibilities like taxes, saving money, and financial aid at 20?",['Education Level'],1
How do I intelligently buy health care coverage?,['Economic Status'],1
How can I manage living on my own better?,['Economic Status'],1
How can I maintain a relationship with my mom without these issues?,[],0
"Is aiming for entrepreneurship at 19 too risky, or should I focus on completing my degree?","['Age', 'Education Level']",2
How can I save up money and balance school with my new full-time job?,['Economic Status'],1
Do you think I would be able to secure a lease with my standing?,[],0
Any advice on moving to Seattle for a 2-year undergrad degree program?,['Education Level'],1
How does Section 8 Housing work and is there a way to get government aid in car insurance or affordable basic coverage?,['Economic Status'],1
Are there any resources for intervention to help my mother recognize her problems or to apply for home care/companionship?,"['Age', 'Mental Health Status']",2
What are the pros and cons of living closer to work and away from the city as a single young person moving to a new area?,['Age'],1
What could they do to make the chemical smell go away in my apartment?,[],0
When should I go see a doctor?,['Health Status'],1
How do we make better cleaning habits for ourselves?,['Education Level'],1
How can I achieve my goal of homeownership by early 2019?,"['Economic Status', 'Profession', 'Education Level']",3
"What's a good ballpark for rent on a $50k salary in Burlington, VT, considering my expenses and savings goals?",['Economic Status'],1
Does anyone know the feeling or is this just really pathetic?,[],0
Is this how you adult?,[],0
Do you guys think its reasonable to consider putting a down payment on a condo while attending college and any tips or suggestions?,"['Age', 'Profession', 'Education Level', 'Economic Status']",4
What should I do to become financially stable and get my life on track?,"['Economic Status', 'Profession', 'Education Level', 'Mental Health Status']",4
How do the rest of you adults make time for gaming?,['Profession'],1
How can I grow up and take control of my life?,"['Education Level', 'Mental Health Status']",2
How can I develop the necessary life skills to live independently and prove to my parents that I am responsible during my summer before college?,['Education Level'],1
How can I afford to move out with no degree and little to no substantial job experience?,"['Economic Status', 'Education Level', 'Profession', 'Mental Health Status']",4
How can I improve my financial management and adulting skills?,['Economic Status'],1
How do you transition out of asking for parental permission when you live independently?,[],0
What are some words of wisdom for dealing with this fear of growing up?,[],0
How can I fix my life to be less of a burden on my family and become more satisfied with myself?,[],0
How can I find a part-time job that is not in retail and does not require dealing with customers regularly?,['Profession'],1
Any advice on figuring out money and is a studio apartment a smart choice for someone hoping to one day move on with a special someone into a bigger home?,['Economic Status'],1
"What would you do in a situation where you are broke, counting down the days until you're homeless, and frozen outside of the career that you've been trying to get to since you were born?",[],0
