User Query,Attribute Path,Path Length
Any tips from you more adult adults for moving 6+ hours away from home for the first time?,"['Age', 'Emotional State']",2
"What should I do now that I'm 30 and have no job, no car, and no money saved up?","['Economic Status', 'Health Status', 'Profession', 'Emotional State', 'Mental Health Status']",5
How can I manage adult responsibilities effectively?,"['Age', 'Profession', 'Emotional State']",3
How can I cope with the fear of having a mortgage until 2049?,"['Economic Status', 'Age', 'Profession', 'Emotional State']",4
What are the options for buying an apartment in NYC as a first-time homebuyer with minimal credit history and limited down payment?,['Economic Status'],1
"What are the proper steps to take to save for a house, build credit, and understand any special home-buying costs?",['Economic Status'],1
Anyone here 29 years old with no career? Anyone here on the same boat? Or was but survived? Any advice will help.,"['Profession', 'Age', 'Emotional State']",3
"Has anyone else dealt with feeling behind in life at my age, and do you have any good tips for me?","['Emotional State', 'Age']",2
Am I a loser?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Age']",4
What should I be focusing on in my early 20s?,"['Age', 'Education Level', 'Economic Status']",3
"Am I doing this right in trying to get an apartment, and what am I missing?","['Economic Status', 'Emotional State', 'Profession', 'Education Level', 'Mental Health Status']",5
Is doing 15 credit hours per semester to get an associate of arts degree in a year and a half doable?,"['Education Level', 'Age']",2
Has anyone else dealt with being unsure about buying a first house due to not wanting the responsibility that comes with it? What did you do?,"['Age', 'Emotional State', 'Mental Health Status', 'Education Level']",4
How do you deal with the crippling realization that you'll never have time to pursue your dreams now that you're an adult?,"['Emotional State', 'Mental Health Status', 'Profession', 'Age', 'Health Status']",5
What should I do when my adulting goes wrong and I'm stuck in a bad living situation with my apartment?,"['Marital Status', 'Economic Status', 'Emotional State', 'Age', 'Mental Health Status']",5
,['Age'],1
How should I handle my feelings after a sexual experience with a friend?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History']",3
What is a better plan for managing my college education and career goals given my financial and personal challenges?,"['Economic Status', 'Education Level']",2
How did you cope with being separated from your parents?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status']",3
Where can I find a place to rent within my budget for me to live alone?,"['Economic Status', 'Age', 'Profession', 'Health Status']",4
"How can I find a career with benefits, a creative aspect, and great coworkers?","['Profession', 'Economic Status', 'Emotional State', 'Age', 'Health Status']",5
"How do I move out of my parents' house, especially if I have to move to another city due to affordability?","['Economic Status', 'Age', 'Education Level']",3
Any suggestions on how to get hired?,"['Profession', 'Economic Status', 'Education Level', 'Emotional State', 'Health Status', 'Mental Health Status']",6
"Am I happy and if not what am I doing to make myself happy? If I am, can I do more of it?","['Emotional State', 'Mental Health Status']",2
How can I move out and live on my own without a proper education to get a decent job?,"['Education Level', 'Economic Status', 'Profession', 'Emotional State', 'Health Status', 'Mental Health Status']",6
How can I create a will and include burial wishes using an online service?,"['Age', 'Mental Health Status', 'Profession', 'Economic Status']",4
What are some jobs I may be qualified for or some steps I can take to find a job?,['Education Level'],1
"What should be my first steps in transitioning to a small business owner and planning for home acquisition, adoption, and investments?","['Economic Status', 'Profession', 'Education Level', 'Health Status']",4
What should I do about my overprotective mom who is against me traveling to Thailand alone?,['Emotional State'],1
When does the feeling of being an adult kick in?,"['Age', 'Education Level', 'Mental Health Status']",3
How can I make friends as an adult besides online?,"['Age', 'Education Level', 'Profession', 'Emotional State']",4
How do I forewarn my boss about needing time off due to my dad's illness?,['Health Status'],1
"Should I focus on saving for a car, or on renting an apartment?","['Economic Status', 'Age', 'Profession']",3
Can someone give me a rundown of what my options are for an auto loan and insurance? How much should I spend? Is it better to go new or used? Who should I buy from?,"['Economic Status', 'Profession', 'Age', 'Education Level', 'Health Status']",5
How can I become more street smart with limited experience?,"['Profession', 'Education Level', 'Emotional State', 'Age', 'Health Status']",5
What are my best options for buying a car with no credit after an accident?,"['Age', 'Economic Status', 'Profession', 'Health Status']",4
How do I become better with finances?,"['Economic Status', 'Profession', 'Education Level', 'Age']",4
How do I get better at remembering things?,"['Education Level', 'Emotional State', 'Health Status', 'Profession', 'Mental Health Status']",5
How can I get my parents (primarily my mom) to calm down and let me go without hurting them or starting a war?,"['Emotional State', 'Past Self-Harm History']",2
What did you do to get cooking after work?,"['Profession', 'Emotional State', 'Mental Health Status']",3
"Is it normal to feel inadequate and behind when you don't understand adult responsibilities like taxes, saving money, and financial aid at 20?",['Education Level'],1
How do I intelligently buy health care coverage?,"['Health Status', 'Economic Status', 'Profession']",3
How can I manage living on my own better?,"['Economic Status', 'Emotional State', 'Profession']",3
How can I maintain a relationship with my mom without these issues?,"['Emotional State', 'Mental Health Status', 'Marital Status', 'Past Self-Harm History']",4
"Is aiming for entrepreneurship at 19 too risky, or should I focus on completing my degree?",['Age'],1
How can I save up money and balance school with my new full-time job?,"['Economic Status', 'Education Level']",2
Do you think I would be able to secure a lease with my standing?,"['Economic Status', 'Profession', 'Emotional State', 'Age', 'Mental Health Status']",5
Any advice on moving to Seattle for a 2-year undergrad degree program?,"['Age', 'Education Level', 'Economic Status']",3
How does Section 8 Housing work and is there a way to get government aid in car insurance or affordable basic coverage?,['Economic Status'],1
Are there any resources for intervention to help my mother recognize her problems or to apply for home care/companionship?,['Health Status'],1
What are the pros and cons of living closer to work and away from the city as a single young person moving to a new area?,"['Age', 'Profession', 'Emotional State']",3
What could they do to make the chemical smell go away in my apartment?,"['Health Status', 'Mental Health Status', 'Age', 'Profession', 'Economic Status']",5
When should I go see a doctor?,"['Health Status', 'Mental Health Status', 'Emotional State']",3
How do we make better cleaning habits for ourselves?,"['Health Status', 'Emotional State', 'Profession', 'Economic Status']",4
How can I achieve my goal of homeownership by early 2019?,"['Economic Status', 'Age', 'Profession', 'Education Level', 'Marital Status']",5
"What's a good ballpark for rent on a $50k salary in Burlington, VT, considering my expenses and savings goals?","['Economic Status', 'Age']",2
Does anyone know the feeling or is this just really pathetic?,[],0
Is this how you adult?,"['Age', 'Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status']",5
Do you guys think its reasonable to consider putting a down payment on a condo while attending college and any tips or suggestions?,"['Economic Status', 'Age']",2
What should I do to become financially stable and get my life on track?,"['Economic Status', 'Profession', 'Education Level']",3
How do the rest of you adults make time for gaming?,"['Age', 'Economic Status', 'Profession', 'Health Status', 'Emotional State']",5
How can I grow up and take control of my life?,['Age'],1
How can I develop the necessary life skills to live independently and prove to my parents that I am responsible during my summer before college?,"['Education Level', 'Emotional State', 'Age']",3
How can I afford to move out with no degree and little to no substantial job experience?,"['Economic Status', 'Profession', 'Education Level', 'Age']",4
How can I improve my financial management and adulting skills?,"['Economic Status', 'Education Level', 'Profession']",3
How do you transition out of asking for parental permission when you live independently?,"['Emotional State', 'Mental Health Status', 'Age', 'Education Level', 'Marital Status']",5
What are some words of wisdom for dealing with this fear of growing up?,"['Age', 'Emotional State', 'Mental Health Status']",3
How can I fix my life to be less of a burden on my family and become more satisfied with myself?,"['Emotional State', 'Mental Health Status', 'Profession']",3
How can I find a part-time job that is not in retail and does not require dealing with customers regularly?,"['Profession', 'Emotional State']",2
Any advice on figuring out money and is a studio apartment a smart choice for someone hoping to one day move on with a special someone into a bigger home?,[],0
"What would you do in a situation where you are broke, counting down the days until you're homeless, and frozen outside of the career that you've been trying to get to since you were born?","['Emotional State', 'Past Self-Harm History', 'Mental Health Status']",3
What are some things that I can do to work on my temper and maybe some insights on how to grow up and learn to budget?,"['Emotional State', 'Age']",2
How can I gain life experience and confidence to be independent and manage adulthood responsibilities?,"['Age', 'Profession', 'Emotional State']",3
How can I move out of my parents' home to gain independence?,"['Economic Status', 'Age', 'Education Level']",3
Does anyone have any tips on how to balance changing interests?,"['Emotional State', 'Profession']",2
How do I juggle both a full time job and relationship well?,"['Marital Status', 'Emotional State', 'Profession', 'Economic Status']",4
Any advice/things I should know about moving out on my own as a 17-year-old?,"['Age', 'Emotional State', 'Profession', 'Mental Health Status', 'Economic Status', 'Health Status']",6
Will unpaid medical bills in my name affect my credit score?,"['Economic Status', 'Profession']",2
How can I motivate myself to update my budget every time I spend and control impulsive buying?,['Economic Status'],1
How do I choose a dentist for teeth implants?,['Profession'],1
Why are my credit card applications getting declined instantly?,"['Economic Status', 'Profession', 'Age', 'Emotional State', 'Education Level']",5
How can I get a driver's license given my poor vision and dental issues?,"['Health Status', 'Emotional State', 'Profession']",3
Do you guys have any tips for budgeting and managing expenses?,['Economic Status'],1
How can I start building a social life and make friends as an adult post college?,"['Age', 'Education Level', 'Profession', 'Emotional State']",4
Any advice on where we could look to for cheaper housing or anything we could do for some extra cash without tearing our hair out as full-time students and part-time workers? Or just any advice in general would be gladly appreciated.,['Economic Status'],1
How do you make friends as an adult?,"['Age', 'Emotional State', 'Mental Health Status', 'Profession']",4
How do people make mistakes in their jobs and forgive themselves and move on?,"['Profession', 'Mental Health Status', 'Past Self-Harm History', 'Age']",4
"Should I work both my current retail job and take the offer to become a certified pharmacy technician, or choose between the two?","['Profession', 'Economic Status', 'Emotional State', 'Health Status']",4
Any tips and tricks on how to let my parents be more okay with me coming back late from my boyfriend's house?,['Emotional State'],1
"What advice can you give me for moving out and renting my first apartment, especially considering having a roommate and finding an affordable area?",['Economic Status'],1
Has anyone been through burnout from work and what can I do to manage it?,['Profession'],1
How do I cease giving a damn emotionally?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status']",4
Where do I go from here to continue advancing as a young adult?,"['Emotional State', 'Age', 'Education Level', 'Profession', 'Gender', 'Mental Health Status', 'Economic Status']",7
How do you adjust financially from college?,"['Economic Status', 'Profession', 'Education Level']",3
Is it normal for parents to put their name on the lease when you're moving out?,"['Age', 'Marital Status']",2
How can I effectively quit smoking and manage my health conditions?,"['Health Status', 'Mental Health Status', 'Profession', 'Economic Status']",4
How can we effectively manage a household with two kids and multiple pets in a small apartment?,"['Economic Status', 'Profession', 'Health Status', 'Education Level', 'Age', 'Emotional State']",6
"How do I find a psychologist, set up an appointment, and make it fit into my work schedule?",['Profession'],1
Is this normal as an adult? Do normal people just go about their lives in near complete apathy?,"['Emotional State', 'Mental Health Status', 'Age', 'Marital Status']",4
Can I even afford to quit my job?,"['Economic Status', 'Health Status', 'Profession']",3
Should I stop or moderate my smoking to improve my financial stability?,"['Economic Status', 'Profession', 'Health Status']",3
What is the fastest way for me to find an apartment and move out?,"['Economic Status', 'Profession', 'Age', 'Emotional State']",4
Why won't this sadness go away?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status', 'Age', 'Profession']",5
How do I find affordable health and dental insurance coverage and what is needed for me to receive it?,['Economic Status'],1
How can I tell what I should do if it all feels the same?,"['Emotional State', 'Mental Health Status', 'Marital Status', 'Age', 'Past Self-Harm History']",5
Is there any kind of program for this situation to help him?,"['Emotional State', 'Profession', 'Mental Health Status', 'Past Self-Harm History', 'Age']",5
Any information on help for getting health insurance?,"['Health Status', 'Economic Status', 'Profession']",3
What advice do you have for an almost-adult about to step into the real world? What's something you wish you knew before you got an apartment?,['Age'],1
What can I do to decide on a career or interest that will earn me enough money to move out?,"['Profession', 'Economic Status', 'Education Level']",3
How can I find a stable job so I can move out?,"['Profession', 'Economic Status', 'Education Level']",3
What steps do I need to take to be ready to move out and create a budget I can stick to?,"['Economic Status', 'Age']",2
"Should I pursue nursing school and stay with my parents, or get my own place despite the financial challenges?","['Economic Status', 'Emotional State', 'Age']",3
Any suggestions from other adults on gifts you really appreciated receiving?,"['Age', 'Education Level', 'Profession', 'Mental Health Status', 'Emotional State']",5
Is it normal to feel nostalgic about going back to college?,"['Emotional State', 'Mental Health Status', 'Age']",3
How can I learn to accept this new reality?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession']",4
How do I deal with anxiety/ADHD and finally move out?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Age']",4
How can I get over severe money anxiety?,"['Economic Status', 'Emotional State', 'Mental Health Status']",3
Can I justify buying $25 worth of craft supplies while between jobs?,"['Economic Status', 'Emotional State', 'Profession']",3
"How do I responsibly find a sex partner while also working on dealing with depression/rape trauma, and moving out?","['Emotional State', 'Past Self-Harm History', 'Marital Status', 'Age', 'Profession', 'Health Status', 'Mental Health Status', 'Economic Status']",8
Anyone have advice on how to get started with applying for jobs and building credit?,"['Economic Status', 'Education Level', 'Profession', 'Age', 'Mental Health Status']",5
Any tips for getting my life on track after graduating college and starting a job?,"['Emotional State', 'Mental Health Status', 'Age']",3
"What do I need to know about health insurance, how does it work, and what should I be looking for/can I even afford it?","['Economic Status', 'Health Status']",2
Any tips for someone who's about to start her first job?,['Profession'],1
Does anyone have any suggestions of how to deal with this defeated feeling that hits many of those in their mid-20s? Anyone have any job suggestions with my qualifications I provided?,"['Profession', 'Education Level', 'Emotional State', 'Mental Health Status']",4
What should I do to move out by October of next year?,"['Economic Status', 'Profession', 'Health Status', 'Age', 'Emotional State']",5
How can I manage my health and financial issues better?,"['Economic Status', 'Profession', 'Health Status']",3
How do I get a plan that has a copay similar to what my parents have? Also what is the difference between a deductible and a copay?,"['Economic Status', 'Age', 'Profession', 'Health Status']",4
What can I do to get over this fear of moving out?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status', 'Age', 'Profession']",5
Is all of this for nothing?,"['Emotional State', 'Mental Health Status', 'Health Status', 'Past Self-Harm History', 'Age']",5
"Is it manageable to move out with reliable people while working and going to college, or should I stick it out until I finish undergrad?","['Education Level', 'Economic Status']",2
"How do we work taking the time and energy to cook into our days, and what should a grocery store budget look like?","['Economic Status', 'Profession']",2
What are some tips for entering the real world and making friends in a new city after college graduation?,"['Age', 'Education Level', 'Emotional State']",3
What should I do in terms of this relationship? Should I consider moving out?,"['Marital Status', 'Mental Health Status', 'Age', 'Economic Status', 'Emotional State']",5
Is there anything else that I can be doing to help him out? Or anything that he could be doing to be less exhausted?,"['Health Status', 'Emotional State']",2
How should I prioritize between buying a new mattress or a new car?,"['Economic Status', 'Emotional State', 'Profession', 'Age']",4
"Should I move back to my hometown despite the challenges, or stay in Cape Town and try to make things work?",['Emotional State'],1
How do you live after dropping out of college?,"['Education Level', 'Economic Status', 'Profession', 'Age', 'Mental Health Status', 'Past Self-Harm History']",6
What should I know about the home buying process as a first-time buyer?,"['Economic Status', 'Age', 'Education Level']",3
When does life get easy?,"['Emotional State', 'Health Status', 'Mental Health Status', 'Profession', 'Age']",5
Has anyone else been in this situation and what can we do about it?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status']",3
Should I start dating now?,"['Emotional State', 'Mental Health Status', 'Age', 'Past Self-Harm History', 'Profession', 'Economic Status', 'Marital Status']",7
"Should I look for a general practice doctor and a separate OB/GYN, or can an OB/GYN also be my primary care provider and do annual check-ups?",['Health Status'],1
Should I look for a new job now or wait since my job might be ending in April and I'm having a baby in May?,"['Age', 'Profession', 'Economic Status']",3
What do full-fledged adults do in their daily lives to make them feel like their life isn't mundane and pointless?,"['Profession', 'Emotional State']",2
Where should I start generally speaking?,"['Age', 'Education Level', 'Economic Status', 'Health Status', 'Mental Health Status', 'Marital Status']",6
How can I start planning for moving to Oregon and finding a job and an apartment there?,"['Profession', 'Economic Status']",2
How can I become more independent and manage adult responsibilities better?,"['Education Level', 'Profession', 'Economic Status']",3
What should I do to find a primary care doctor who is accepting new patients?,"['Profession', 'Health Status']",2
How do I fix my fucking life?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession']",4
How can I get a job in computer science without a college degree and manage my anxiety?,"['Education Level', 'Mental Health Status', 'Age', 'Profession']",4
What can I do about my dating situation if I don't want to take up hiking or get a pet?,"['Emotional State', 'Marital Status', 'Profession', 'Mental Health Status']",4
Is it unusual for someone my age to go to doctor's appointments alone and handle everything themselves?,"['Emotional State', 'Health Status', 'Age']",3
How can I be a better adult?,"['Age', 'Education Level', 'Mental Health Status']",3
"Given my situation, is moving out wise or should I stay until I graduate? Also, if we decide to move out, what do I do with my dogs and do registered ESAs help with housing? Are there any reliable programs to support us financially besides food stamps?","['Economic Status', 'Profession']",2
