User Query,Attribute Path,Path Length
How can I handle the situation where my parents are too involved in my relationship and don't trust me as an adult?,[],0
How do I forgive my dad for financially gas lighting me?,[],0
What can I do to overcome co-dependency and save my relationships/friendships going forward?,['Emotional State'],1
How's the best way to approach a conversation with my neighbor to prevent him from overstepping boundaries again?,"['Emotional State', 'Mental Health Status', 'Marital Status', 'Profession', 'Age']",5
"Should I keep trying to be friends with someone who is ghosting me, even though I care about them a lot?",[],0
"What should I do after my girlfriend broke up with me over unresolved arguments, and should I move on or stay hopeful for a reunion?","['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status']",4
How can I mend this most recent mistake and restore my relationship with my boyfriend's sister?,"['Emotional State', 'Marital Status']",2
"Am I too mature for my age, and is that why I struggle to find a relationship?",[],0
How do I know if I should leave my relationship because of unresolved issues with my boyfriend?,['Emotional State'],1
Am I overstepping by wanting to tell my brother-in-law to be a real father to my niece?,[],0
What should I do about my feelings for my best friend who is seeing someone else?,[],0
What should I do next and how should I break the news to her?,[],0
Are we doing the right thing by leaving a good relationship because of his move to pursue a master's?,[],0
How should I respond to my stepmom's request to stop FaceTiming my dad when it feels like I'm being brushed aside?,"['Age', 'Emotional State']",2
How do I keep my relationship strong and gain my confidence back?,"['Marital Status', 'Emotional State', 'Mental Health Status', 'Economic Status']",4
How can I navigate the change in my relationship with my partner given our lack of intimacy?,[],0
How do I handle this situation without ruining what little contact my son has with his family here?,['Emotional State'],1
How can I best support my girlfriend with health anxiety while discouraging unhealthy behavior and preserving my mental health?,"['Mental Health Status', 'Health Status', 'Past Self-Harm History']",3
What can I do to address the problems with my girlfriend who is mad at me and hates my best friend?,"['Emotional State', 'Marital Status', 'Mental Health Status', 'Age']",4
"Is it wrong for your partner to think that your family is poor compared to hers, and could this be a red flag for starting a family together?","['Economic Status', 'Emotional State', 'Mental Health Status']",3
Am I being unreasonable about how much H drinks?,"['Emotional State', 'Mental Health Status']",2
Has anyone had experience with a temporary separation to help resolve ongoing problems in a relationship?,[],0
Does anyone have advice on how to utilize a separation to help resolve relationship problems?,['Emotional State'],1
Should I make the first step in this case and maybe take the L or just leave it as it is and see how things go?,['Emotional State'],1
Any advice here? I'm spiraling thinking that my ex is going to try to ruin every relationship I have for the rest of my life.,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History']",3
