User Query,Attribute Path,Path Length
Any tips on what I can do to stop people from looking away from me while talking?,['Mental Health Status'],1
How can I make friends in a new state when I'm exhausted from working 2 jobs?,"['Age', 'Profession', 'Economic Status', 'Mental Health Status', 'Emotional State', 'Education Level', 'Health Status']",7
Does anyone have any tips that I could use to maintain better social skills?,"['Education Level', 'Profession', 'Mental Health Status']",3
"Is there anything I can do to help catch on quicker, or to improve my common sense?",['Education Level'],1
How do I overcome social anxiety of approaching my coursemates?,"['Education Level', 'Profession', 'Mental Health Status', 'Emotional State', 'Marital Status']",5
What should I choose: move to America for a new life or stay in Brazil to pursue a PhD and become a professor?,"['Education Level', 'Profession', 'Economic Status']",3
Why do I care all of a sudden about being a virgin and wanting a relationship?,[],0
How can I find my natural voice and stop being self-conscious about it?,['Education Level'],1
How can adopting a 'yes' mentality improve my life?,['Education Level'],1
How do you act around people who are +10 years older than you?,[],0
How can I improve my financial situation and social life?,"['Economic Status', 'Profession']",2
How can I stop feeling lonely and have a birthday where I feel cared for?,['Emotional State'],1
How can I feel more valuable and contribute socially on this trip with friends?,['Education Level'],1
"Where can I go to refine my social skills with in-person classes, books, and instructors?",['Education Level'],1
How can I improve my social skills as an introvert?,['Education Level'],1
How can I set myself free from all those negative thoughts about approaching women?,[],0
How can I make new friends after moving back home to a town where I know no one?,['Education Level'],1
What would be the right way for me to act so I'll learn again to attract people around me and just feel natural around them?,['Emotional State'],1
"How can I overcome my fear of socializing and not freezing up, especially when playing baseball or speaking in class?","['Mental Health Status', 'Emotional State', 'Education Level', 'Profession', 'Age', 'Economic Status', 'Health Status']",7
What are some suggestions or tips to become more social?,"['Education Level', 'Profession', 'Mental Health Status']",3
How do I meet new people and make friends?,"['Education Level', 'Profession', 'Economic Status', 'Age', 'Mental Health Status']",5
How can I overcome my inability to build real friendships and feel more socially secure?,"['Mental Health Status', 'Emotional State', 'Education Level', 'Profession', 'Economic Status', 'Marital Status', 'Health Status', 'Past Self-Harm History', 'Gender']",9
How can I overcome my shyness and improve my social skills to meet people and approach girls?,['Education Level'],1
Is there anything I can do to stop feeling intimidated by people easily?,"['Emotional State', 'Mental Health Status', 'Profession', 'Education Level', 'Economic Status']",5
"How should I behave on my date at the cinema, and what tips can you give me?",['Age'],1
How do I handle this type of person?,[],0
How can I improve my friendships with other men without letting my hangups get in the way?,['Mental Health Status'],1
How can I make my social skills better for people wanting to spend time with me?,['Education Level'],1
Any advice on getting 'me' back?,"['Emotional State', 'Mental Health Status', 'Profession', 'Education Level', 'Marital Status', 'Health Status', 'Past Self-Harm History', 'Gender', 'Economic Status']",9
How should I talk to new people outside of niche communities?,"['Education Level', 'Profession', 'Economic Status', 'Mental Health Status']",4
How can I enjoy going to night clubs?,[],0
Does anyone have advice on how to handle being at school alone when I'm struggling with social anxiety and language barriers?,"['Education Level', 'Mental Health Status', 'Emotional State']",3
How can I feel less overwhelmed as the new RA and make friends?,['Education Level'],1
What should I do to stay mindful of the progress of relationships in my life?,['Emotional State'],1
How do I catch up and improve my social maturity?,"['Education Level', 'Profession', 'Mental Health Status', 'Emotional State', 'Marital Status', 'Economic Status']",6
What do I do?,[],0
What tips or advice can you offer to improve socially and form friendships while studying abroad?,['Education Level'],1
"Is there a better alternative to David Carnegie Training that would be affordable to a millennial intern? And if not, where would be the best thing to do to improve my social networking skills?","['Age', 'Education Level', 'Profession', 'Economic Status', 'Mental Health Status']",5
What can I do to develop meaningful relationships and improve my social skills as a college student who feels isolated?,['Education Level'],1
"How can I cope with feeling awkward and unconfident around others, especially my crush, while going on a group trip abroad?",['Emotional State'],1
"How can I be more normal in terms of conversation, relationships, music, movies, hobbies, drinking, sports consumption, food, gym, vehicle use, club behavior, politics, everyday habits, and general social interactions?","['Education Level', 'Profession', 'Mental Health Status']",3
Anything I could do to get over this fear?,"['Emotional State', 'Mental Health Status', 'Profession', 'Education Level', 'Health Status', 'Past Self-Harm History', 'Age', 'Economic Status']",8
How does one introduce yourself to a new school when friend groups are already established?,"['Education Level', 'Profession', 'Age', 'Mental Health Status']",4
What do people my age talk about?,['Age'],1
"Are there ways to better control, or just completely stop stuttering?","['Education Level', 'Profession', 'Age', 'Mental Health Status']",4
"How can I come up with a strategy to meet new people and potentially get a girlfriend, considering my social and sensory challenges?","['Education Level', 'Profession', 'Mental Health Status', 'Emotional State', 'Economic Status']",5
How can I be accepted by my coworkers and make genuine friends at work?,['Profession'],1
Any tips for being less anxious and maybe even saying something to him?,"['Emotional State', 'Mental Health Status', 'Profession', 'Economic Status', 'Education Level']",5
Do you think I'm losing a big part of the awesome life studying can offer?,"['Education Level', 'Mental Health Status']",2
How can I branch out and overcome my anxiety to make new friends after losing contact with my best friend?,['Emotional State'],1
How can I quickly kickstart my social life when I'm a natural introvert with no social media presence?,"['Age', 'Education Level', 'Profession', 'Economic Status', 'Mental Health Status']",5
How can I make genuine friends in college?,['Education Level'],1
What am I missing socially that I need to drastically improve on?,['Marital Status'],1
"What suggestions, tips, or mental exercises can help me improve my social interactions?",['Education Level'],1
Any advice?,[],0
"What are my choices for having a normal social life without drinking, considering my bad experiences with Meetup?",[],0
How can I become a better conversationalist and make friends in my own area?,['Profession'],1
Anyone else feel the same or similar or am I just super fucking weird?,[],0
Is starting at a new school in another city a good option?,"['Education Level', 'Age', 'Profession', 'Economic Status', 'Mental Health Status', 'Emotional State', 'Health Status']",7
What steps can I take to not become so overwhelmed and enjoy myself when out with people?,['Emotional State'],1
Why can't someone ever look at me longer than 2 seconds?,[],0
How can I make new friends as a 20-year-old?,['Education Level'],1
Any tips to making friends outside of work?,"['Education Level', 'Profession', 'Economic Status', 'Age', 'Mental Health Status']",5
How can I improve my social life and build friendships after spending years focusing only on academics?,['Education Level'],1
How can I improve my conversation skills and overcome my fear of asking out someone I like?,['Education Level'],1
How can I be more relatable in the workplace and just in general?,['Profession'],1
Is there anyone that can just talk to me? Give me some advice?,"['Emotional State', 'Mental Health Status', 'Profession', 'Education Level', 'Economic Status']",5
"Where can I go from here to improve my communication skills in general, and are there any useful books or articles that may help?",['Education Level'],1
What should I do about feeling socially awkward and desperate for a relationship?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Marital Status', 'Profession', 'Economic Status']",6
How can I become more relevant to people and improve my ability to maintain conversations?,['Profession'],1
