User Query,Attribute Path,Path Length
Any tips on what I can do to stop people from looking away from me while talking?,"['Emotional State', 'Mental Health Status', 'Health Status']",3
How can I make friends in a new state when I'm exhausted from working 2 jobs?,"['Profession', 'Economic Status', 'Emotional State', 'Mental Health Status']",4
Does anyone have any tips that I could use to maintain better social skills?,"['Emotional State', 'Mental Health Status']",2
"Is there anything I can do to help catch on quicker, or to improve my common sense?",[],0
How do I overcome social anxiety of approaching my coursemates?,"['Education Level', 'Emotional State', 'Mental Health Status']",3
What should I choose: move to America for a new life or stay in Brazil to pursue a PhD and become a professor?,[],0
Why do I care all of a sudden about being a virgin and wanting a relationship?,"['Emotional State', 'Age']",2
How can I find my natural voice and stop being self-conscious about it?,"['Mental Health Status', 'Emotional State']",2
How can adopting a 'yes' mentality improve my life?,[],0
How do you act around people who are +10 years older than you?,['Age'],1
How can I improve my financial situation and social life?,['Economic Status'],1
How can I stop feeling lonely and have a birthday where I feel cared for?,"['Emotional State', 'Marital Status', 'Mental Health Status', 'Economic Status', 'Age', 'Health Status', 'Past Self-Harm History', 'Profession']",8
How can I feel more valuable and contribute socially on this trip with friends?,[],0
"Where can I go to refine my social skills with in-person classes, books, and instructors?","['Economic Status', 'Age', 'Education Level', 'Emotional State']",4
How can I improve my social skills as an introvert?,['Emotional State'],1
How can I set myself free from all those negative thoughts about approaching women?,"['Emotional State', 'Mental Health Status']",2
How can I make new friends after moving back home to a town where I know no one?,['Age'],1
What would be the right way for me to act so I'll learn again to attract people around me and just feel natural around them?,[],0
"How can I overcome my fear of socializing and not freezing up, especially when playing baseball or speaking in class?",[],0
What are some suggestions or tips to become more social?,['Emotional State'],1
How do I meet new people and make friends?,[],0
How can I overcome my inability to build real friendships and feel more socially secure?,[],0
How can I overcome my shyness and improve my social skills to meet people and approach girls?,"['Emotional State', 'Profession', 'Mental Health Status']",3
Is there anything I can do to stop feeling intimidated by people easily?,"['Emotional State', 'Mental Health Status']",2
"How should I behave on my date at the cinema, and what tips can you give me?",['Age'],1
