User Query,Attribute Path,Path Length
Any tips on what I can do to stop people from looking away from me while talking?,[],0
How can I make friends in a new state when I'm exhausted from working 2 jobs?,['Emotional State'],1
Does anyone have any tips that I could use to maintain better social skills?,['Emotional State'],1
"Is there anything I can do to help catch on quicker, or to improve my common sense?",[],0
How do I overcome social anxiety of approaching my coursemates?,[],0
What should I choose: move to America for a new life or stay in Brazil to pursue a PhD and become a professor?,['Economic Status'],1
Why do I care all of a sudden about being a virgin and wanting a relationship?,['Emotional State'],1
How can I find my natural voice and stop being self-conscious about it?,['Emotional State'],1
How can adopting a 'yes' mentality improve my life?,['Emotional State'],1
How do you act around people who are +10 years older than you?,[],0
How can I improve my financial situation and social life?,['Economic Status'],1
How can I stop feeling lonely and have a birthday where I feel cared for?,[],0
How can I feel more valuable and contribute socially on this trip with friends?,['Emotional State'],1
"Where can I go to refine my social skills with in-person classes, books, and instructors?",[],0
How can I improve my social skills as an introvert?,[],0
How can I set myself free from all those negative thoughts about approaching women?,[],0
How can I make new friends after moving back home to a town where I know no one?,['Emotional State'],1
What would be the right way for me to act so I'll learn again to attract people around me and just feel natural around them?,[],0
"How can I overcome my fear of socializing and not freezing up, especially when playing baseball or speaking in class?",[],0
What are some suggestions or tips to become more social?,['Emotional State'],1
How do I meet new people and make friends?,[],0
How can I overcome my inability to build real friendships and feel more socially secure?,[],0
How can I overcome my shyness and improve my social skills to meet people and approach girls?,[],0
Is there anything I can do to stop feeling intimidated by people easily?,[],0
"How should I behave on my date at the cinema, and what tips can you give me?",[],0
How do I handle this type of person?,['Emotional State'],1
How can I improve my friendships with other men without letting my hangups get in the way?,['Emotional State'],1
How can I make my social skills better for people wanting to spend time with me?,[],0
Any advice on getting 'me' back?,[],0
How should I talk to new people outside of niche communities?,['Emotional State'],1
How can I enjoy going to night clubs?,['Emotional State'],1
Does anyone have advice on how to handle being at school alone when I'm struggling with social anxiety and language barriers?,[],0
How can I feel less overwhelmed as the new RA and make friends?,['Emotional State'],1
What should I do to stay mindful of the progress of relationships in my life?,[],0
How do I catch up and improve my social maturity?,[],0
What do I do?,['Emotional State'],1
What tips or advice can you offer to improve socially and form friendships while studying abroad?,[],0
"Is there a better alternative to David Carnegie Training that would be affordable to a millennial intern? And if not, where would be the best thing to do to improve my social networking skills?",[],0
What can I do to develop meaningful relationships and improve my social skills as a college student who feels isolated?,[],0
"How can I cope with feeling awkward and unconfident around others, especially my crush, while going on a group trip abroad?",[],0
"How can I be more normal in terms of conversation, relationships, music, movies, hobbies, drinking, sports consumption, food, gym, vehicle use, club behavior, politics, everyday habits, and general social interactions?",[],0
Anything I could do to get over this fear?,['Emotional State'],1
How does one introduce yourself to a new school when friend groups are already established?,['Emotional State'],1
What do people my age talk about?,['Age'],1
"Are there ways to better control, or just completely stop stuttering?",[],0
"How can I come up with a strategy to meet new people and potentially get a girlfriend, considering my social and sensory challenges?",[],0
How can I be accepted by my coworkers and make genuine friends at work?,['Emotional State'],1
Any tips for being less anxious and maybe even saying something to him?,['Emotional State'],1
Do you think I'm losing a big part of the awesome life studying can offer?,['Emotional State'],1
How can I branch out and overcome my anxiety to make new friends after losing contact with my best friend?,[],0
How can I quickly kickstart my social life when I'm a natural introvert with no social media presence?,[],0
How can I make genuine friends in college?,[],0
