User Query,Attribute Path,Path Length
Any tips on what I can do to stop people from looking away from me while talking?,"['Emotional State', 'Mental Health Status']",2
How can I make friends in a new state when I'm exhausted from working 2 jobs?,"['Emotional State', 'Profession']",2
Does anyone have any tips that I could use to maintain better social skills?,"['Emotional State', 'Mental Health Status']",2
"Is there anything I can do to help catch on quicker, or to improve my common sense?","['Mental Health Status', 'Emotional State']",2
How do I overcome social anxiety of approaching my coursemates?,"['Emotional State', 'Mental Health Status']",2
What should I choose: move to America for a new life or stay in Brazil to pursue a PhD and become a professor?,"['Profession', 'Economic Status', 'Education Level']",3
Why do I care all of a sudden about being a virgin and wanting a relationship?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status']",4
How can I find my natural voice and stop being self-conscious about it?,"['Emotional State', 'Mental Health Status']",2
How can adopting a 'yes' mentality improve my life?,"['Emotional State', 'Mental Health Status']",2
How do you act around people who are +10 years older than you?,"['Age', 'Mental Health Status', 'Emotional State']",3
How can I improve my financial situation and social life?,"['Economic Status', 'Profession']",2
How can I stop feeling lonely and have a birthday where I feel cared for?,"['Emotional State', 'Mental Health Status']",2
How can I feel more valuable and contribute socially on this trip with friends?,"['Emotional State', 'Mental Health Status']",2
"Where can I go to refine my social skills with in-person classes, books, and instructors?","['Profession', 'Education Level', 'Mental Health Status']",3
How can I improve my social skills as an introvert?,"['Emotional State', 'Mental Health Status']",2
How can I set myself free from all those negative thoughts about approaching women?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History']",3
How can I make new friends after moving back home to a town where I know no one?,"['Emotional State', 'Mental Health Status', 'Marital Status']",3
What would be the right way for me to act so I'll learn again to attract people around me and just feel natural around them?,"['Emotional State', 'Mental Health Status']",2
"How can I overcome my fear of socializing and not freezing up, especially when playing baseball or speaking in class?","['Emotional State', 'Mental Health Status', 'Past Self-Harm History']",3
What are some suggestions or tips to become more social?,"['Emotional State', 'Mental Health Status']",2
How do I meet new people and make friends?,"['Emotional State', 'Mental Health Status']",2
How can I overcome my inability to build real friendships and feel more socially secure?,"['Mental Health Status', 'Emotional State']",2
How can I overcome my shyness and improve my social skills to meet people and approach girls?,"['Emotional State', 'Mental Health Status']",2
Is there anything I can do to stop feeling intimidated by people easily?,"['Emotional State', 'Mental Health Status']",2
"How should I behave on my date at the cinema, and what tips can you give me?","['Emotional State', 'Profession']",2
How do I handle this type of person?,"['Emotional State', 'Mental Health Status', 'Age']",3
How can I improve my friendships with other men without letting my hangups get in the way?,"['Emotional State', 'Gender']",2
How can I make my social skills better for people wanting to spend time with me?,"['Emotional State', 'Mental Health Status']",2
Any advice on getting 'me' back?,"['Emotional State', 'Mental Health Status']",2
How should I talk to new people outside of niche communities?,"['Emotional State', 'Mental Health Status']",2
How can I enjoy going to night clubs?,"['Age', 'Profession', 'Economic Status']",3
Does anyone have advice on how to handle being at school alone when I'm struggling with social anxiety and language barriers?,"['Mental Health Status', 'Emotional State']",2
How can I feel less overwhelmed as the new RA and make friends?,"['Emotional State', 'Profession']",2
What should I do to stay mindful of the progress of relationships in my life?,"['Marital Status', 'Emotional State']",2
How do I catch up and improve my social maturity?,"['Emotional State', 'Mental Health Status']",2
What do I do?,"['Age', 'Gender', 'Marital Status']",3
What tips or advice can you offer to improve socially and form friendships while studying abroad?,"['Emotional State', 'Mental Health Status', 'Profession']",3
"Is there a better alternative to David Carnegie Training that would be affordable to a millennial intern? And if not, where would be the best thing to do to improve my social networking skills?","['Profession', 'Economic Status', 'Mental Health Status']",3
What can I do to develop meaningful relationships and improve my social skills as a college student who feels isolated?,"['Mental Health Status', 'Emotional State', 'Past Self-Harm History', 'Marital Status', 'Education Level']",5
"How can I cope with feeling awkward and unconfident around others, especially my crush, while going on a group trip abroad?",['Emotional State'],1
"How can I be more normal in terms of conversation, relationships, music, movies, hobbies, drinking, sports consumption, food, gym, vehicle use, club behavior, politics, everyday habits, and general social interactions?","['Emotional State', 'Mental Health Status', 'Past Self-Harm History']",3
Anything I could do to get over this fear?,"['Emotional State', 'Mental Health Status']",2
How does one introduce yourself to a new school when friend groups are already established?,"['Emotional State', 'Age']",2
What do people my age talk about?,"['Age', 'Emotional State']",2
"Are there ways to better control, or just completely stop stuttering?","['Health Status', 'Mental Health Status', 'Past Self-Harm History']",3
"How can I come up with a strategy to meet new people and potentially get a girlfriend, considering my social and sensory challenges?","['Emotional State', 'Mental Health Status']",2
How can I be accepted by my coworkers and make genuine friends at work?,"['Emotional State', 'Mental Health Status', 'Profession']",3
Any tips for being less anxious and maybe even saying something to him?,"['Emotional State', 'Mental Health Status']",2
Do you think I'm losing a big part of the awesome life studying can offer?,"['Education Level', 'Emotional State', 'Profession']",3
How can I branch out and overcome my anxiety to make new friends after losing contact with my best friend?,"['Mental Health Status', 'Emotional State']",2
How can I quickly kickstart my social life when I'm a natural introvert with no social media presence?,"['Emotional State', 'Mental Health Status']",2
How can I make genuine friends in college?,"['Emotional State', 'Mental Health Status']",2
What am I missing socially that I need to drastically improve on?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status', 'Marital Status', 'Age']",5
"What suggestions, tips, or mental exercises can help me improve my social interactions?","['Emotional State', 'Mental Health Status']",2
Any advice?,"['Age', 'Gender', 'Marital Status']",3
"What are my choices for having a normal social life without drinking, considering my bad experiences with Meetup?","['Mental Health Status', 'Emotional State']",2
How can I become a better conversationalist and make friends in my own area?,"['Emotional State', 'Profession', 'Age', 'Education Level']",4
Anyone else feel the same or similar or am I just super fucking weird?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status', 'Age']",5
Is starting at a new school in another city a good option?,"['Emotional State', 'Profession', 'Economic Status']",3
What steps can I take to not become so overwhelmed and enjoy myself when out with people?,"['Emotional State', 'Mental Health Status']",2
Why can't someone ever look at me longer than 2 seconds?,"['Emotional State', 'Mental Health Status']",2
How can I make new friends as a 20-year-old?,['Age'],1
Any tips to making friends outside of work?,"['Emotional State', 'Mental Health Status']",2
How can I improve my social life and build friendships after spending years focusing only on academics?,"['Mental Health Status', 'Age', 'Emotional State']",3
How can I improve my conversation skills and overcome my fear of asking out someone I like?,"['Emotional State', 'Mental Health Status']",2
How can I be more relatable in the workplace and just in general?,"['Profession', 'Emotional State', 'Mental Health Status']",3
Is there anyone that can just talk to me? Give me some advice?,"['Emotional State', 'Mental Health Status']",2
"Where can I go from here to improve my communication skills in general, and are there any useful books or articles that may help?","['Education Level', 'Profession', 'Emotional State']",3
What should I do about feeling socially awkward and desperate for a relationship?,['Emotional State'],1
How can I become more relevant to people and improve my ability to maintain conversations?,"['Emotional State', 'Education Level', 'Mental Health Status', 'Profession']",4
How can I improve my self-confidence with girls?,"['Emotional State', 'Mental Health Status']",2
What can I do to change the way people see me?,"['Emotional State', 'Mental Health Status', 'Profession']",3
How can I talk to girls when I'm scared to look at them?,['Emotional State'],1
